vote_id,yes,no,abstain
15dc73e9-d06b-4f29-8d9a-fdf7988644ee,0,131,0
ea5d8b9d-6c63-47a6-8c9b-6abce5ee40ce,135,0,0
64054def-28d7-420b-b695-69b6249007d5,127,0,0
1f035f2a-1a50-4681-b5bf-fe870c8f4fa4,131,0,0
92f07bb1-244d-414b-8423-f5d4fb7f87c7,132,0,0
8fd2cbbe-cbf0-44bd-973f-67e6b8e0ef9c,132,0,0
0eaa5d2a-a6e6-4b5c-8d9b-68a5e2262a00,140,0,0
71000a94-b5f4-4e08-a977-73c58a48e53a,142,0,0
9b50442a-9e53-4e7c-8d0d-d238139b3534,0,138,0
daf7e4c7-bfe7-42c0-b3a2-0a676efbf21c,138,0,0
b0ec1b9d-f3c1-487c-8203-1654b084a637,137,0,0
5489be2e-dc7d-457a-97ee-bed627260427,133,0,1
14a2656e-ea85-46a5-8a1f-3034a31ee364,0,137,0
62824036-9936-41fb-99c0-896d9114bb5c,0,137,0
0f2164ee-5bef-41e9-b542-08f2333b25f5,133,0,0
4ba16bae-638c-4a80-b912-2e9a2559f8e2,133,1,2
dd383ec1-ae1b-4d0b-9127-5c469ea52571,126,0,0
735b832f-b802-4480-a4f2-1d1a54c14822,0,138,0
c5e4b802-5329-4796-987d-ba009e2a5534,134,9,2
7b8dba01-6513-4ab1-b064-60da486bef7b,1,115,0
abc00782-b5e6-4c5c-81e0-ae534b23364b,121,0,0
4674aae4-7844-4d1c-ada3-4eb5a457840a,127,0,0
526d5113-dd93-4013-ba88-778dad709b91,135,0,0
45baf6b6-7c06-4c3d-9272-596d12ca8e40,3,122,1
fe7bd3a8-2d35-41a2-88c5-dad7f5b6b2b3,124,0,2
576c7567-8f07-4232-8b9b-014ea683a0d7,143,0,0
4962a834-8354-4411-8af0-7b05ea0dd640,134,0,0
d0f9e889-f85d-4957-b513-d071a0bae8b8,137,0,0
20ed7eed-84db-4310-be10-79e0394dc1a4,1,136,0
017494f8-acbe-4603-bc79-ee8745b98006,0,141,0
f519ada3-37d3-432b-9a0a-82369c9304ae,0,142,0
52c694aa-0383-4720-a383-ac900851eb32,144,0,0
3f089d7d-7310-4065-8be6-52b989e2762f,136,0,0
7430eedf-5fc9-4f4d-bb3d-bf3b6c84ea49,136,0,0
e0642be5-c9c6-48cc-9019-d681ee81a9da,144,0,0
0f637773-4432-4d69-b37f-d1921361f395,143,0,0
