vote_id,yes,no,abstain
05ded506-a8fe-4cdf-b3bf-f858ea6a97d2,0,76,0
f22ac09b-e1a3-4b27-94b8-c34d849dff61,58,8,4
5c217b50-cd18-4cb7-a949-ce79bcf055be,0,63,0
f9b8fdc9-9115-443f-80da-b395fbbdf777,0,73,0
5cec1940-a915-4f88-bb6d-967826577dd7,1,66,1
28c9f964-b598-4a73-97af-dc5815889d19,0,73,0
4f6fc0a2-2243-441d-b6cb-636ccef0bb7c,0,67,0
103ec11c-04d5-43cd-b72f-8ecb1830b69a,0,73,0
661e523f-ccdc-4d7c-9001-9df905d510a3,3,2,66
ea05dffa-1140-4b9f-a206-87a4f67e131c,0,71,0
d3d36b42-bfcb-4fe2-bd31-55801ad431f4,0,71,0
aa6a0c2c-3f9e-497c-aae9-bb1370204182,0,69,0
9e7163aa-e487-4e1a-97d8-c0f2ed027d3b,0,79,0
e1bbe9ab-5ab5-40da-8820-cca5f8ef0997,0,68,0
9941bfbb-b165-4cff-81c8-e68d2ffff6b8,26,1,45
78b9ed44-76a6-4e01-8b52-f0b7366d6bca,0,77,0
b5791e2d-71a7-41cb-99d9-fa0d80fd7b9a,71,0,0
68e38bb5-60d5-4671-aba7-a8288b38e493,0,69,0
1b6031b2-2e69-455b-af9c-1c32b9d4c134,0,70,0
0f211809-06ce-4160-a90e-d7ae7f7a6a43,0,78,0
92d514e1-8282-4b9e-a55c-04e8ceb3b462,0,78,0
986799a6-4b4b-4fb0-8777-a6aba94e780b,0,79,0
a84d9d0e-a9e3-42f9-8bde-0ca835e871b2,0,73,0
72930e9e-7290-4706-83f8-d03f7bacbae7,75,1,1
d493922e-212b-4dad-a82e-f5e525af813e,73,0,3
a18a6983-f9da-4208-b1a0-02e42fe7a42f,0,74,1
d1ec90cd-5eb0-4bad-8393-1a2ca0f3c9f5,72,0,0
47233e70-298f-4cea-9641-688dd35159b1,0,78,0
6bd1879b-a55f-48b0-a8a1-1cb44c46b552,2,76,0
cd122786-df2d-4f35-a586-c03787512f99,76,2,0
bc841058-62f0-4ff7-967b-d43f9d60c73f,0,76,0
3643589a-3488-4ef3-b2bd-f3b50bbc8adb,0,78,0
54606c37-5aaf-4580-ba73-8c25a22b3fcc,0,77,0
f87d156d-a517-4ce6-a36a-1bf26c963ad9,73,1,0
faca61ee-d0cb-4eee-914d-60b73da530d4,0,76,1
8509377b-d299-4f37-b2e4-ed6c0fab0472,0,80,0
8355c460-743f-4c7b-a940-bf98a55e2344,82,0,0
2c3c70e2-0f4d-4345-a251-cca0188a066f,0,74,0
46486c9e-7dc0-49da-8472-31ef9756bef6,0,77,0
2c1111bd-321a-4b24-be80-38e3900a64a2,66,12,1
b77caf7b-c248-4554-bb93-b80c1d66c15e,0,83,0
d129cbc5-f034-4710-b02d-713cddbe5aae,0,83,0
2bf84bce-a06e-47fe-812b-683ced368b32,0,83,0
8237f983-fe63-4e78-b2c1-de3037b417d8,0,81,2
36a838cd-3fe8-42e2-9e56-908725f5a34b,4,76,3
d0c6da3f-75ae-4ea0-b82c-a35b1f6e659f,0,82,1
6471fa92-b7f9-4775-9a8b-bd87ac1b2683,0,79,0
eec706fa-161a-4806-903f-7a5296ed57f0,1,1,66
8f5cd596-a156-4678-8f71-d2cde9a2639f,0,75,0
b2be203e-f0be-4537-9ad5-3837510499e0,0,74,0
7ae7213b-d2e5-41f4-bb47-86c3dc3b1397,0,78,0
86ff0723-b4b4-4e48-9394-0e456a6330e5,0,78,0
a42daca6-f974-4bb6-ab37-b5794a953da9,0,77,0
b4c409b8-bbde-477a-a538-35d342c3231b,67,9,1
4da33e34-4c05-47a1-9aa7-163b753e3411,0,76,0
15dc73e9-d06b-4f29-8d9a-fdf7988644ee,79,0,0
ea5d8b9d-6c63-47a6-8c9b-6abce5ee40ce,0,72,1
64054def-28d7-420b-b695-69b6249007d5,0,70,3
1f035f2a-1a50-4681-b5bf-fe870c8f4fa4,0,68,0
